significance;uniquename;name;searchname;altname;type;gatewaylink;age;area;canon;illustrator;placeholder
"1";"DainsHalls";"Dáin's halls";"Dain's halls";"";"House";"http://tolkiengateway.net/wiki/D%C3%A1in%27s_halls";"Third Age";""Middle-earth","Rhovanion"";"2";"";""
"5";"Dale";"Dale";"Dale";"";"City";"http://tolkiengateway.net/wiki/Dale";"Third Age";""Middle-earth","Rhovanion"";"1";"Matěj Čadil";""
"2";"DarkDoor";"Dark Door";"Dark Door";"Forbidden Door";"Place";"http://tolkiengateway.net/wiki/Dark_Door";"First Age";""Middle-earth","Rohan"";"2";"";""
"4";"DarkLand";"Dark Land";"Dark Land";"";"Region";"http://tolkiengateway.net/wiki/Dark_Land";"First Age";"Arda";"1";"";""
"3";"DeadMarshes";"Dead Marshes";"Dead Marshes";"";"Moor";"http://tolkiengateway.net/wiki/Dead_Marshes";"Third Age";""Middle-earth","Rhovanion"";"1";"Ted Nasmith";""
"2";"DeathDown";"Death Down";"Death Down";"";"Mountain";"http://tolkiengateway.net/wiki/Death_Down";"First Age";""Middle-earth","Rohan"";"2";"";""
"2";"Deephallow";"Deephallow";"Deephallow";"";"Village";"http://tolkiengateway.net/wiki/Deephallow";"Third Age";""Middle-earth","The Shire"";"1";"";""
"2";"DeepingCoomb";"Deeping-coomb";"Deeping-coomb";"";"Region";"http://tolkiengateway.net/wiki/Deeping-coomb";"First Age";""Middle-earth","Rohan"";"2";"";""
"1";"DeepingWall";"Deeping Wall";"Deeping Wall";"";"Wall";"http://tolkiengateway.net/wiki/Deeping_Wall";"First Age";""Middle-earth","Rohan"";"2";"";""
"2";"DesolationOfTheDragon";"Desolation of the Dragon";"Desolation of the Dragon";"";"Region";"http://tolkiengateway.net/wiki/Desolation_of_the_Dragon";"Third Age";""Middle-earth","Rhovanion"";"2";"";""
"3";"DesolationOfTheMorannon";"Desolation of the Morannon";"Desolation of the Morannon";"";"Region";"http://tolkiengateway.net/wiki/Desolation_of_the_Morannon";"Third Age";""Middle-earth","Rhovanion"";"2";"Ted Nasmith";""
"3";"Dimbar";"Dimbar";"Dimbar";"";"Region";"http://tolkiengateway.net/wiki/Dimbar";"First Age";""Middle-earth","Beleriand"";"1";"";""
"4";"Dimrost";"Dimrost";"Dimrost";"";"Waterfall";"http://tolkiengateway.net/wiki/Dimrost";"First Age";""Middle-earth","Beleriand"";"1";"";""
"4";"Dimholt";"Dimholt";"Dimholt";"";"Place";"http://tolkiengateway.net/wiki/Dimholt";"First Age";""Middle-earth","Rohan"";"2";"";""
"2";"DimrillDale";"Dimrill Dale";"Dimrill Dale";"Nanduhirion";"Valley";"http://tolkiengateway.net/wiki/Dimrill_Dale";"Third Age";""Middle-earth","Moria"";"1";"Ted Nasmith";""
"1";"DomeOfStars";"Dome of Stars";"Dome of Stars";"";"Place";"http://tolkiengateway.net/wiki/Dome_of_Stars";"First Age";""Aman","Valinor"";"2";"";""
"4";"DolAmroth";"Dol Amroth";"Dol Amroth";"";"City";"http://tolkiengateway.net/wiki/Dol_Amroth";"Third Age";""Middle-earth","Gondor"";"1";"Jan Pospíšil";""
"2";"DolBaran";"Dol Baran";"Dol Baran";"";"Hill";"http://tolkiengateway.net/wiki/Dol_Baran";"Third Age";""Middle-earth","Rohan"";"1";"";""
"6";"DolGuldur";"Dol Guldur";"Dol Guldur";"";"Stronghold";"http://tolkiengateway.net/wiki/Dol_Guldur";"Third Age";""Middle-earth","Rhovanion"";"1";"Matěj Čadil";""
"2";"Dolmed";"Dolmed";"Dolmed";"Mt. Dolmed";"Mountain";"http://tolkiengateway.net/wiki/Dolmed";"First Age";""Middle-earth","Beleriand"";"1";"";""
"1";"DolTarlang";"Dol Tarlang";"Dol Tarlang";"";"Mountain Range";"http://tolkiengateway.net/wiki/Dol_Tarlang";"Third Age";""Middle-earth","Gondor"";"2";"";""
"2";"DomeOfStars";"Dome of Stars";"Dome of Stars";"";"Hall";"http://tolkiengateway.net/wiki/Dome_of_Stars";"Third Age";""Middle-earth","Gondor"";"2";"";""
"4";"DoorsOfDurin";"Doors of Durin";"Doors of Durin";""West-gate","West-door of Moria"";"Place";"http://tolkiengateway.net/wiki/Doors_of_Durin";"Third Age";""Middle-earth","Moria"";"2";"Kasiopea";""
"2";"DorCaranthir";"Dor Caranthir";"Dor Caranthir";"";"Region";"http://tolkiengateway.net/wiki/Dor_Caranthir";"First Age";""Middle-earth","Beleriand"";"2";"";""
"2";"DorCuarthol";"Dor-Cúarthol";"Dor-Cuarthol";"";"Region";"http://tolkiengateway.net/wiki/Dor-C%C3%BAarthol";"First Age";""Middle-earth","Beleriand"";"1";"";""
"4";"DorDaedeloth";"Dor Daedeloth";"Dor Daedeloth";"";"Region";"http://tolkiengateway.net/wiki/Dor_Daedeloth";"First Age";""Middle-earth","Beleriand"";"1";"";""
"2";"DorDaidelos";"Dor Daidelos";"Dor Daidelos";"";"Region";"http://tolkiengateway.net/wiki/Dor_Daidelos";"First Age";"Middle-earth";"1";"";""
"2";"DorDinen";"Dor Dínen";"Dor Dinen";"";"Region";"http://tolkiengateway.net/wiki/Dor_D%C3%ADnen";"First Age";""Middle-earth","Beleriand"";"1";"Matěj Čadil";""
"1";"DorEnErnil";"Dor-en-Ernil";"Dor-en-Ernil";"";"Region";"http://tolkiengateway.net/wiki/Dor-en-Ernil";"Third Age";""Middle-earth","Gondor"";"1";"";""
"3";"DorFirnIGuinar";"Dor Firn-i-Guinar";"Dor Firn-i-Guinar";"";"Region";"http://tolkiengateway.net/wiki/Dor_Firn-i-Guinar";"First Age";""Middle-earth","Beleriand"";"1";"";""
"7";"Doriath";"Doriath";"Doriath";"";"Region";"http://tolkiengateway.net/wiki/Doriath";"First Age";""Middle-earth","Beleriand"";"1";"";""
"5";"DorLomin";"Dor-lómin";"Dor-lomin";"";"Region";"http://tolkiengateway.net/wiki/Dor-l%C3%B3min";"First Age";""Middle-earth","Beleriand"";"1";"";""
"3";"Dorthonion";"Dorthonion";"Dorthonion";"Taur-na-Foen";"Highland Region";"http://tolkiengateway.net/wiki/Dorthonion";"First Age";""Middle-earth","Beleriand"";"1";"";""
"3";"Dorwinion";"Dorwinion";"Dorwinion";"Dor-Winion";"Region";"http://tolkiengateway.net/wiki/Dorwinion";"Third Age";""Middle-earth","Rhovanion"";"1";"";""
"2";"Drengist";"Drengist";"Drengist";"";"Firth";"http://tolkiengateway.net/wiki/Drengist";"First Age";""Middle-earth","Beleriand"";"1";"";""
"1";"DruadanForest";"Drúadan Forest";"Druadan Forest";"";"Forest";"http://tolkiengateway.net/wiki/Dr%C3%BAadan_Forest";"Third Age";""Middle-earth","Gondor"";"1";"";""
"1";"DruwaithIaur";"Drúwaith Iaur";"Druwaith Iaur";"";"Region";"http://tolkiengateway.net/wiki/Dr%C3%BAwaith_Iaur";"Second Age";""Middle-earth","Gondor"";"1";"";""
"2";"DryRiver";"Dry River";"Dry River";"";"River";"http://tolkiengateway.net/wiki/Dry_River";"First Age";""Middle-earth","Beleriand"";"1";"";""
"1";"Dunharrow";"Dunharrow";"Dunharrow";"";"Tower";"http://tolkiengateway.net/wiki/Dunharrow";"Second Age";""Middle-earth","Rohan"";"1";"Ted Nasmith";""
"3";"Duilwen";"Duilwen";"Duilwen";"";"River";"http://tolkiengateway.net/wiki/Duilwen";"First Age";""Middle-earth","Beleriand"";"1";"Matěj Čadil";""
"5";"Dunland";"Dunland";"Dunland";"";"Region";"http://tolkiengateway.net/wiki/Dunland";"Third Age";""Middle-earth","Eriador"";"1";"";""
"2";"DurinsStone";"Durin's Stone";"Durin's Stone";"";"Place";"http://tolkiengateway.net/wiki/Durin%27s_Stone";"Third Age";""Middle-earth","Moria"";"2";"";""
"2";"DurinsTower";"Durin's Tower";"Durin's Tower";"";"Place";"http://tolkiengateway.net/wiki/Durin%27s_Tower";"Third Age";""Middle-earth","Moria"";"2";"";""
"2";"Durthang";"Durthang";"Durthang";"";"Stronghold";"http://tolkiengateway.net/wiki/Durthang";"Third Age";""Middle-earth","Mordor"";"1";"";""
"2";"Dwaling";"Dwaling";"Dwaling";"";"Village";"http://tolkiengateway.net/wiki/Dwaling";"Third Age";""Middle-earth","The Shire"";"2";"";""
"3";"DwarfRoadOfBeleriand";"Dwarf-road of Beleriand";"Dwarf-road of Beleriand";"";"Road";"http://tolkiengateway.net/wiki/Dwarf-road_of_Beleriand";"First Age";""Middle-earth","Beleriand"";"1";"";""
"1";"Dwimorberg";"Dwimorberg";"Dwimorberg";"Haunted Mountain";"Mountain";"http://tolkiengateway.net/wiki/Dwimorberg";"Third Age";""White Mountains","Middle-earth"";"1";"";""
"4";"EaglesEyrie";"Eagle's Eyrie";"Eagle's Eyrie";"";"Place";"http://tolkiengateway.net/wiki/Eagle%27s_Eyrie";"Third Age";""Misty Mountains","Middle-earth"";"1";"";""
"1";"East";"East";"East";"";"Region";"http://tolkiengateway.net/wiki/East";"Third Age";"Middle-earth";"2";"";""
"3";"EastBeleriand";"East Beleriand";"East Beleriand";"";"Region";"http://tolkiengateway.net/wiki/East_Beleriand";"First Age";""Middle-earth","Beleriand"";"1";"";""
"2";"EastBight";"East Bight";"East Bight";"";"Region";"http://tolkiengateway.net/wiki/East_Bight";"Third Age";""Middle-earth","Rhovanion"";"2";"";""
"2";"Eastemnet";"Eastemnet";"Eastemnet";"";"Region";"http://tolkiengateway.net/wiki/Eastemnet";"Third Age";""Middle-earth","Rohan"";"1";"";""
"3";"EasternLands";"Eastern lands";"Eastern lands";"";"Region";"http://tolkiengateway.net/wiki/Category:Eastern_lands";"Third Age";"Middle-earth";"2";"";""
"2";"Eastfarthing";"Eastfarthing";"Eastfarthing";"";"Region";"http://tolkiengateway.net/wiki/Eastfarthing";"Third Age";""Middle-earth","The Shire"";"1";"Matěj Čadil";""
"2";"Eastfold";"Eastfold";"Eastfold";"";"Region";"http://tolkiengateway.net/wiki/Eastfold";"Third Age";""Middle-earth","Rohan"";"1";"";""
"2";"EastLorien";"East Lórien";"East Lorien";"";"Region";"http://tolkiengateway.net/wiki/East_L%C3%B3rien";"Third Age";""Middle-earth","Rhovanion"";"2";"";""
"2";"EastMark";"East-mark";"East-mark";"";"Region";"http://tolkiengateway.net/wiki/East-mark";"Third Age";""Middle-earth","Rohan"";"2";"";""
"3";"EastRoad";"East Road";"East Road";"";"Road";"http://tolkiengateway.net/wiki/East_Road";"Third Age";""Middle-earth","The Shire"";"1";"Matěj Čadil";""
"4";"EastSea";"East Sea";"East Sea";"";"Sea";"http://tolkiengateway.net/wiki/East_Sea";"First Age";""Middle-earth","Dark Land"";"1";"";""
"2";"EastWallOfRohan";"East Wall of Rohan";"East Wall of Rohan";"";"Wall";"http://tolkiengateway.net/wiki/East_Wall_of_Rohan";"First Age";""Middle-earth","Rohan"";"2";"";""
"4";"Echoriad";"Echoriad";"Echoriad";"Encircling Mountains";"Mountain Range";"http://tolkiengateway.net/wiki/Echoriad";"First Age";""Middle-earth","Beleriand"";"1";"Ted Nasmith";""
"2";"Edhellond";"Edhellond";"Edhellond";"";"Harbour";"http://tolkiengateway.net/wiki/Edhellond";"Second Age";""Middle-earth","Gondor"";"1";"";""
"5";"Edoras";"Edoras";"Edoras";"";"Region";"http://tolkiengateway.net/wiki/Edoras";"First Age";""Middle-earth","Rohan"";"1";"Jan Pospíšil";""
"2";"Egladil";"Egladil";"Egladil";"";"Region";"http://tolkiengateway.net/wiki/Egladil";"Third Age";""Middle-earth","Rhovanion"";"2";"";""
"4";"Eglarest";"Eglarest";"Eglarest";"";"City";"http://tolkiengateway.net/wiki/Eglarest";"First Age";""Middle-earth","Beleriand"";"1";"";""
"2";"Eilenach";"Eilenach";"Eilenach";"";"Mountain";"http://tolkiengateway.net/wiki/Eilenach";"Third Age";""White Mountains","Middle-earth"";"1";"Matěj Čadil";""
"2";"Eilenaer";"Eilenaer";"Eilenaer";"";"Mountain";"http://tolkiengateway.net/wiki/Eilenaer";"First Age";""Middle-earth","Rohan"";"2";"";""
"4";"EithelIvrin";"Eithel Ivrin";"Eithel Ivrin";""Ivrin","Pools of Ivrin"";"Spring";"http://tolkiengateway.net/wiki/Eithel_Ivrin";"First Age";""Middle-earth","Beleriand"";"1";"Ted Nasmith";""
"4";"EithelSirion";"Eithel Sirion";"Eithel Sirion";"";"Spring";"http://tolkiengateway.net/wiki/Eithel_Sirion";"First Age";""Middle-earth","Beleriand"";"1";"";""
"6";"Ekkaia";"Ekkaia";"Ekkaia";"";"Ocean";"http://tolkiengateway.net/wiki/Ekkaia";"Years of the Trees";""Middle-earth","Aman"";"1";"";""
"2";"Eldalonde";"Eldalondë";"Eldalonde";"";"City";"http://tolkiengateway.net/wiki/Eldalond%C3%AB";"Second Age";""Middle-earth","Númenor"";"1";"Matěj Čadil";""
"4";"Eldamar";"Eldamar";"Eldamar";"";"Region";"http://tolkiengateway.net/wiki/Eldamar";"First Age";"Aman";"1";"Ted Nasmith";""
"2";"EldamarBay";"Bay of Eldamar";"Bay of Eldamar";"";"Bay";"http://tolkiengateway.net/wiki/Bay_of_Eldamar";"First Age";"Aman";"1";"Ted Nasmith";""
"1";"Elende";"Elendë";"Elende";"";"Region";"http://tolkiengateway.net/wiki/Elend%C3%AB";"First Age";"Aman";"2";"";""
"1";"ElfPath";"Elf-path";"Elf-path";"";"Place";"http://tolkiengateway.net/wiki/Elf-path";"Third Age";""Middle-earth","Rhovanion"";"2";"";""
"2";"Elostirion";"Elostirion";"Elostirion";"";"Tower";"http://tolkiengateway.net/wiki/Elostirion";"Third Age";""Middle-earth","Eriador"";"2";"";""
"5";"ElvenkingsHalls";"Elvenking's Halls";"Elvenking's Halls";"";"City";"http://tolkiengateway.net/wiki/Elvenking%27s_Halls";"Third Age";""Middle-earth","Rhovanion"";"1";"";""
"2";"ElvetIsle";"Elvet-isle";"Elvet-isle";"";"Island";"http://tolkiengateway.net/wiki/Elvet-isle";"Third Age";""Middle-earth","Eriador"";"2";"";""
"2";"ElwingsTower";"Elwing's tower";"Elwing's tower";"";"Tower";"http://tolkiengateway.net/wiki/Elwing%27s_tower";"First Age";"Aman";"1";"";""
"2";"Emerie";"Emerië";"Emerie";"";"Region";"http://tolkiengateway.net/wiki/Emeri%C3%AB";"Second Age";""Middle-earth","Númenor"";"1";"";""
"3";"EmptyLands";"Empty Lands";"Empty Lands";"";"Region";"http://tolkiengateway.net/wiki/Empty_Lands";"Third Age";""Middle-earth","EasternLands"";"2";"";""
"1";"EmynArnen";"Emyn Arnen";"Emyn Arnen";"";"Mountain Range";"http://tolkiengateway.net/wiki/Emyn_Arnen";"Third Age";""Middle-earth","Gondor"";"1";"";""
"2";"EmynEglain";"Emyn Eglain";"Emyn Eglain";"Hills of Eglamar";"Hill Range";"http://tolkiengateway.net/wiki/Emyn_Eglain";"First Age";""Middle-earth","Beleriand"";"2";"";""
"5";"EmynMuil";"Emyn Muil";"Emyn Muil";"";"Mountain Range";"http://tolkiengateway.net/wiki/Emyn_Muil";"Third Age";""Middle-earth","Rhovanion"";"1";"";""
"2";"EnchantedIsles";"Enchanted Isles";"Enchanted Isles";"";"Islands";"http://tolkiengateway.net/wiki/Enchanted_Isles";"First Age";"Aman";"1";"";""
"3";"EnchantedRiver";"Enchanted River";"Enchanted River";"";"River";"http://tolkiengateway.net/wiki/Enchanted_River";"Third Age";""Middle-earth","Rhovanion"";"1";"";""
"2";"EndlessStair";"Endless Stair";"Endless Stair";"";"Path";"http://tolkiengateway.net/wiki/Endless_Stair";"Third Age";""Middle-earth","Moria"";"2";"";""
"3";"Enedwaith";"Enedwaith";"Enedwaith";"";"Region";"http://tolkiengateway.net/wiki/Enedwaith";"Third Age";""Middle-earth","Eriador"";"1";"Matěj Čadil";""
"2";"Entwade";"Entwade";"Entwade";"";"Ford";"http://tolkiengateway.net/wiki/Entwade";"First Age";""Middle-earth","Rohan"";"2";"";""
"2";"Entwash";"Entwash";"Entwash";"Onodló";"River";"http://tolkiengateway.net/wiki/Entwash";"Third Age";""Middle-earth","Rohan"";"1";"";""
"2";"EntwashVale";"Entwash Vale";"Entwash Vale";"";"Region";"http://tolkiengateway.net/wiki/Entwash_Vale";"First Age";""Middle-earth","Rohan"";"2";"";""
"3";"EphelBrandir";"Ephel Brandir";"Ephel Brandir";"";"Village";"http://tolkiengateway.net/wiki/Ephel_Brandir";"First Age";""Middle-earth","Rohan"";"1";"";""
"2";"EphelDuath";"Ephel Dúath";"Ephel Duath";"";"Mountain Range";"http://tolkiengateway.net/wiki/Ephel_D%C3%BAath";"Third Age";""Middle-earth","Mordor"";"1";"";""
"2";"Erech";"Erech";"Erech";"";"Hill";"http://tolkiengateway.net/wiki/Erech";"Third Age";""Middle-earth","Gondor"";"1";"Matěj Čadil";""
"2";"ErechHill";"Hill of Erech";"Hill of Erech";"";"Mountain";"http://tolkiengateway.net/wiki/Hill_of_Erech";"Third Age";""White Mountains","Middle-earth"";"2";"";""
"5";"EredGorgoroth";"Ered Gorgoroth";"Ered Gorgoroth";"";"Mountain Range";"http://tolkiengateway.net/wiki/Ered_Gorgoroth";"First Age";""Middle-earth","Beleriand"";"1";"";""
"2";"EredLithui";"Ered Lithui";"Ered Lithui";"Mountains of Ash";"Mountain Range";"http://tolkiengateway.net/wiki/Ered_Lithui";"Third Age";""Middle-earth","Mordor"";"1";"";""
"3";"EredLomin";"Ered Lómin";"Ered Lomin";"";"Mountain Range";"http://tolkiengateway.net/wiki/Ered_L%C3%B3min";"First Age";""Middle-earth","Beleriand"";"1";"";""
"4";"EredWethrin";"Ered Wethrin";"Ered Wethrin";"Mountains of Shadow";"Mountain Range";"http://tolkiengateway.net/wiki/Ered_Wethrin";"First Age";""Middle-earth","Beleriand"";"1";"";""
"2";"Eregion";"Eregion";"Eregion";"Hollin";"Region";"http://tolkiengateway.net/wiki/Eregion";"Second Age";""Middle-earth","Eriador"";"1";"";""
"2";"Erelas";"Erelas";"Erelas";"";"Mountain";"http://tolkiengateway.net/wiki/Erelas";"Third Age";""White Mountains","Middle-earth"";"1";"";""
"7";"Eriador";"Eriador";"Eriador";"";"Region";"http://tolkiengateway.net/wiki/Eriador";"Second Age";"Middle-earth";"1";"";""
"2";"Erui";"Erui";"Erui";"";"River";"http://tolkiengateway.net/wiki/Erui";"Third Age";""Middle-earth","Gondor"";"1";"";""
"3";"ErynVorn";"Eryn Vorn";"Eryn Vorn";"";"Forest";"http://tolkiengateway.net/wiki/Eryn_Vorn";"Third Age";""Middle-earth","Eriador"";"1";"";""
"1";"Esgalduin";"Esgalduin";"Esgalduin";"";"Spring";"http://tolkiengateway.net/wiki/Esgalduin";"First Age";""Middle-earth","Beleriand"";"2";"";""
"3";"Estolad";"Estolad";"Estolad";"";"Region";"http://tolkiengateway.net/wiki/Estolad";"First Age";""Middle-earth","Beleriand"";"1";"";""
"2";"EthirAnduin";"Ethir Anduin";"Ethir Anduin";"";"Delta";"http://tolkiengateway.net/wiki/Ethir_Anduin";"Third Age";""Middle-earth","Gondor"";"1";"";""
"1";"Ethring";"Ethring";"Ethring";"";"Ford";"http://tolkiengateway.net/wiki/Ethring";"Third Age";""Middle-earth","Gondor"";"1";"Matěj Čadil";""
"4";"Ettendales";"Ettendales";"Ettendales";"";"Region";"http://tolkiengateway.net/wiki/Ettendales";"Third Age";""Middle-earth","Eriador"";"2";"";""
"3";"Ettenmoors";"Ettenmoors";"Ettenmoors";"";"Moor";"http://tolkiengateway.net/wiki/Ettenmoors";"Third Age";""Middle-earth","Eriador"";"1";"";""
"1";"Evereven";"Evereven";"Evereven";"";"Region";"http://tolkiengateway.net/wiki/Evereven";"First Age";"Aman";"2";"";""
"2";"Everholt";"Everholt";"Everholt";"";"Forest";"http://tolkiengateway.net/wiki/Everholt";"First Age";""Middle-earth","Rohan"";"2";"";""
"1";"Ezellohar";"Ezellohar";"Ezellohar";"Corollairë";"Region";"http://tolkiengateway.net/wiki/Ezellohar";"First Age";""Aman","Valinor"";"2";"";""
"2";"Faerie";"Faerie";"Faerie";"";"Region";"http://tolkiengateway.net/wiki/Faerie";"First Age";"Aman";"2";"";""
"5";"Falas";"Falas";"Falas";"";"Region";"http://tolkiengateway.net/wiki/Falas";"First Age";""Middle-earth","Beleriand"";"1";"";""
"1";"Falasquil";"Falasquil";"Falasquil";"";"Place";"http://tolkiengateway.net/wiki/Falasquil";"First Age";""Middle-earth","Beleriand"";"2";"";""
"1";"FallsOfEsgalduin";"Falls of Esgalduin";"Falls of Esgalduin";"";"Waterfall";"http://tolkiengateway.net/wiki/Falls_of_Esgalduin";"First Age";""Middle-earth","Beleriand"";"2";"";""
"3";"FallsOfSirion";"Falls of Sirion";"Falls of Sirion";"";"Waterfall";"http://tolkiengateway.net/wiki/Falls_of_Sirion";"First Age";""Middle-earth","Beleriand"";"1";"Ted Nasmith";""
"7";"Fangorn";"Fangorn";"Fangorn";"";"Forest";"http://tolkiengateway.net/wiki/Fangorn_Forest";"Third Age";""Middle-earth","Moria"";"2";"Ted Nasmith";""
"2";"Fanuidhol";"Fanuidhol";"Fanuidhol";"";"Mountain";"http://tolkiengateway.net/wiki/Fanuidhol";"Third Age";""Middle-earth","Moria"";"1";"";""
"2";"FarDowns";"Far Downs";"Far Downs";"";"Hill Range";"http://tolkiengateway.net/wiki/Far_Downs";"Third Age";""Middle-earth","Eriador"";"2";"";""
"4";"FarHarad";"Far Harad";"Far Harad";"";"Region";"http://tolkiengateway.net/wiki/Far_Harad";"Third Age";""Southern lands","Middle-earth"";"1";"Richard Svensson";""
"2";"Farthings";"Farthings";"Farthings";"";"Region";"http://tolkiengateway.net/wiki/Farthings";"Third Age";""Middle-earth","The Shire"";"2";"";""
"2";"Fenmark";"Fenmark";"Fenmark";"";"Region";"http://tolkiengateway.net/wiki/Fenmark";"Third Age";""Middle-earth","Rohan"";"1";"";""
"3";"FenOfSerech";"Fen of Serech";"Fen of Serech";"";"Moor";"http://tolkiengateway.net/wiki/Fen_of_Serech";"First Age";""Middle-earth","Beleriand"";"1";"";""
"3";"FensOfSirion";"Fens of Sirion";"Fens of Sirion";"";"Moor";"http://tolkiengateway.net/wiki/Fens_of_Sirion";"First Age";""Middle-earth","Beleriand"";"2";"";""
"2";"FerryIsland";"FerryIsland";"FerryIsland";"";"Island";"http://tolkiengateway.net/wiki/Falmari";"First Age";""Aman","Middle-earth"";"1";"";""
"2";"FerryLane";"Ferry Lane";"Ferry Lane";"";"Road";"http://tolkiengateway.net/wiki/Ferry_Lane";"Third Age";""Middle-earth","The Shire"";"2";"";""
"1";"FieldOfCormallen";"Field of Cormallen";"Field of Cormallen";"";"Field";"http://tolkiengateway.net/wiki/Field_of_Cormallen";"Third Age";""Middle-earth","Gondor"";"1";"";""
"2";"FieldOfCelebrant";"Field of Celebrant";"Field of Celebrant";"";"Region";"http://tolkiengateway.net/wiki/Field_of_Celebrant";"Third Age";""Middle-earth","Rohan"";"1";"";""
"1";"FingolfinsCairn";"Fingolfin's Cairn";"Fingolfin's Cairn";"";"Place";"http://tolkiengateway.net/wiki/Fingolfin%27s_Cairn";"First Age";""Middle-earth","Beleriand"";"2";"";""
"1";"Firienfeld";"Firienfeld";"Firienfeld";"";"Region";"http://tolkiengateway.net/wiki/Firienfeld";"First Age";""Middle-earth","Rohan"";"2";"";""
"2";"Firienholt";"Firienholt";"Firienholt";"";"Forest";"http://tolkiengateway.net/wiki/Firienholt";"Third Age";""Middle-earth","Rohan"";"1";"";""
"2";"FirstDeep";"First Deep";"First Deep";"";"Region";"http://tolkiengateway.net/wiki/First_Deep";"Third Age";""Middle-earth","Moria"";"2";"";""
"1";"FirstHall";"First Hall";"First Hall";"";"Hall";"http://tolkiengateway.net/wiki/First_Hall";"Third Age";""Middle-earth","Moria"";"2";"";""
"2";"FirthOfRomenna";"Firth of Rómenna";"Firth of Romenna";"";"Firth";"http://tolkiengateway.net/wiki/Firth_of_R%C3%B3menna";"Third Age";""Middle-earth","Númenor"";"2";"";""
"1";"Foen";"Foen";"Foen";"";"Mountain";"http://tolkiengateway.net/wiki/Foen";"First Age";""Middle-earth","Beleriand"";"2";"";""
"2";"Folde";"Folde";"Folde";"";"Region";"http://tolkiengateway.net/wiki/Folde";"Third Age";""Middle-earth","Rohan"";"2";"";""
"1";"Forannest";"Forannest";"Forannest";"";"Place";"http://tolkiengateway.net/wiki/Forannest";"Third Age";""Middle-earth","Gondor"";"2";"";""
"3";"FordOfBrithiach";"Ford of Brithiach";"Ford of Brithiach";"";"Ford";"http://tolkiengateway.net/wiki/Ford_of_Brithiach";"First Age";""Middle-earth","Beleriand"";"1";"";""
"3";"FordOfBruinen";"Ford of Bruinen";"Ford of Bruinen";"";"Ford";"http://tolkiengateway.net/wiki/Ford_of_Bruinen";"Third Age";""Middle-earth","Eriador"";"1";"Ted Nasmith";""
"2";"FordsOfIsen";"Fords of Isen";"Fords of Isen";"Ethraid Engrin";"Ford";"http://tolkiengateway.net/wiki/Fords_of_Isen";"First Age";""Middle-earth","Rohan"";"1";"Matěj Čadil";""
"2";"ForestGate";"Forest Gate";"Forest Gate";"";"Place";"http://tolkiengateway.net/wiki/Forest_Gate";"Third Age";""Middle-earth","Rhovanion"";"2";"";""
"3";"ForestOfNeldoreth";"Forest of Neldoreth";"Forest of Neldoreth";"";"Forest";"http://tolkiengateway.net/wiki/Forest_of_Neldoreth";"First Age";""Middle-earth","Beleriand"";"1";"";""
"2";"ForestOfRegion";"Forest of Region";"Forest of Region";"";"Forest";"http://tolkiengateway.net/wiki/Forest_of_Region";"First Age";""Middle-earth","Beleriand"";"1";"";""
"3";"ForestRiver";"Forest River";"Forest River";"";"River";"http://tolkiengateway.net/wiki/Forest_River";"Third Age";""Middle-earth","Rhovanion"";"1";"";""
"2";"ForestRoad";"Forest Road";"Forest Road";"";"Road";"http://tolkiengateway.net/wiki/Forest_Road";"Third Age";""Middle-earth","Rhovanion"";"2";"";""
"2";"ForgottenVillages";"Forgotten Villages";"Forgotten Villages";"";"City";"http://tolkiengateway.net/wiki/Forgotten_Villages";"Third Age";""Middle-earth","Eriador"";"2";"";""
"3";"Forlindon";"Forlindon";"Forlindon";"";"Region";"http://tolkiengateway.net/wiki/Forlindon";"Second Age";""Middle-earth","Lindon"";"1";"";""
"2";"Forlond";"Forlond";"Forlond";"";"Harbour";"http://tolkiengateway.net/wiki/Forlond";"Second Age";""Middle-earth","Lindon"";"1";"";""
"3";"Formenos";"Formenos";"Formenos";"";"Stronghold";"http://tolkiengateway.net/wiki/Formenos";"First Age";""Aman","Valinor"";"1";"Luis F. Bejarano";""
"3";"FornostErain";"Fornost Erain";"Fornost Erain";"";"City";"http://tolkiengateway.net/wiki/Fornost_Erain";"Third Age";""Middle-earth","Arnor"";"1";"";""
"4";"Forochel";"Forochel";"Forochel";"";"Region";"http://tolkiengateway.net/wiki/Forochel";"Second Age";""Middle-earth","Eriador"";"1";"";""
"2";"Forodwaith";"Forodwaith";"Forodwaith";"Northern Waste";"Region";"http://tolkiengateway.net/wiki/Forodwaith_%28lands%29";"Second Age";"Middle-earth";"1";"";""
"4";"Forostar";"Forostar";"Forostar";"";"Region";"http://tolkiengateway.net/wiki/Forostar";"Second Age";""Middle-earth","Númenor"";"1";"";""
"2";"Framsburg";"Framsburg";"Framsburg";"";"City";"http://tolkiengateway.net/wiki/Framsburg";"Third Age";""Middle-earth","Rhovanion"";"1";"";""
"2";"Frogmorton";"Frogmorton";"Frogmorton";"";"Village";"http://tolkiengateway.net/wiki/Frogmorton";"Third Age";""Middle-earth","The Shire"";"1";"";""
"2";"Gamwich";"Gamwich";"Gamwich";"";"Village";"http://tolkiengateway.net/wiki/Gamwich";"Third Age";""Middle-earth","The Shire"";"2";"";""
