significance;uniquename;name;searchname;altname;location;gender;born;died;gatewaylink;race;illustrator;placeholder
"3";"beor";"Bëor";"Beor";"Balan";"Nargothrond";"male";"F.A. 262,East of the Blue Mountains";"F.A. 355 (aged 93)";"http://tolkiengateway.net/wiki/B%C3%ABor";"Adan";"";""
"6";"beorn";"Beorn";"Beorn";"";"Beorn's Hall";"male";"";"between T.A. 2941 and 3018 ";"http://tolkiengateway.net/wiki/Beorn";"Man";"Ted Nasmith";""
"2";"bereg";"Bereg";"Bereg";"";"";"male";"F.A. 340 ";"";"http://tolkiengateway.net/wiki/Bereg";"Adan";"";""
"3";"beregar";"Beregar";"Beregar";"";"Númenor";"male";"Before S.A. 771 ";"";"http://tolkiengateway.net/wiki/Beregar";"Númenórean";"";""
"2";"beregondSoldierOfGondor";"Beregond (soldier of Gondor)";"Beregond (soldier of Gondor)";"Beregond of the Guard";"Gondor; Ithilien";"male";"Late Third Age ";"During Fourth Age ";"http://tolkiengateway.net/wiki/Beregond_%28soldier_of_Gondor%29";"Gondorian";"Matěj Čadil";""
"2";"beregondStewardOfGondor";"Beregond (Steward of Gondor)";"Beregond (Steward of Gondor)";"Ruling Steward";"";"male";"T.A. 2700 ";"T.A. 2811 (aged 111)";"http://tolkiengateway.net/wiki/Beregond_%28Steward_of_Gondor%29";"Gondorian";"";""
"2";"berelach";"Berelach";"Berelach";"";"Gondor";"male";"First century of the Fourth Age ";"";"http://tolkiengateway.net/wiki/Berelach";"Gondorian";"";""
"4";"beren";"Beren";"Beren";""Son of Barahir","Camlost","Erchamion","Lord of Ladros","Lord of Tol Galen"";""Dorthonion","Ossiriand"";"male";"F.A. 432,Dorthonion";"F.A. 466 (aged 34),Hunting of the Wolf,Returned to life, final death: F.A. 503 (aged 71),Dor Firn-i-Guinar";"http://tolkiengateway.net/wiki/Beren";"Adan";"Jenny Dolfen";""
"2";"berenSonOfBelemir";"Beren (son of Belemir)";"Beren (son of Belemir)";"";"";"male";"F.A. 374 ";"";"http://tolkiengateway.net/wiki/Beren_%28son_of_Belemir%29";"Adan";"";""
"2";"berenStewardOfGondor";"Beren (Steward of Gondor)";"Beren (Steward of Gondor)";"Ruling Steward";"Gondor";"male";"T.A. 2655 ";"T.A. 2763 (aged 108)";"http://tolkiengateway.net/wiki/Beren_%28Steward_of_Gondor%29";"Gondorian";"";""
"1";"bergil";"Bergil";"Bergil";"";"Gondor";"male";"Around T.A. 3009,Gondor";"";"http://tolkiengateway.net/wiki/Bergil";"Gondorian";"";""
"2";"beril";"Beril";"Beril";"";"";"male";"F.A. 365";"";"http://tolkiengateway.net/wiki/Beril";"Adan";"";""
"2";"berilacBrandybuck";"Berilac Brandybuck";"Berilac Brandybuck";"";"Buckland";"male";"S.R. 1380";"";"http://tolkiengateway.net/wiki/Berilac_Brandybuck";"Hobbit";"";""
"2";"beruthiel";"Berúthiel";"Beruthiel";"Queen of Gondor";"Gondor";"male";"Early Third Age ";"";"http://tolkiengateway.net/wiki/Ber%C3%BAthiel";"Gondorian";"Peter Xavier Price";""
"4";"bert";"Bert";"Bert";"";"";"male";"";"T.A. 2941";"http://tolkiengateway.net/wiki/Bert";"Troll";"";""
"2";"beryllaBoffin";"Berylla Boffin";"Berylla Boffin";"Berylla Baggins";""The Yale","Hobbiton"";"female";"S.R. 1172";"";"http://tolkiengateway.net/wiki/Berylla_Boffin";"Hobbit";"";""
"6";"bifur";"Bifur";"Bifur";"";""Thorin's Halls","Lonely Mountain"";"male";"";"";"http://tolkiengateway.net/wiki/Bifur";"Dwarf";"Adlpictures";""
"2";"bilboBaggins";"Bilbo Baggins";"Bilbo Baggins";"";""Bag End","Hobbiton","Rivendell"";"male";"22 September T.A. 2890";"29 September T.A. 3021 (aged 131),Grey Havens";"http://tolkiengateway.net/wiki/Bilbo_Baggins";"Hobbit";"Soni Alcorn-Hender";""
"2";"bilboGardner";"Bilbo Gardner";"Bilbo Gardner";"";""Bag End","Hobbiton"";"male";"S.R. 1436";"";"http://tolkiengateway.net/wiki/Bilbo_Gardner";"Hobbit";"";""
"8";"bingoBaggins";"Bingo Baggins";"Bingo Baggins";"";"The Shire";"male";"S.R. 1264";"S.R. 1360 (aged 96)";"http://tolkiengateway.net/wiki/Bingo_Baggins";"Hobbit";"";""
"2";"bodoProudfoot";"Bodo Proudfoot";"Bodo Proudfoot";"";"The Shire";"male";"";"";"http://tolkiengateway.net/wiki/Bodo_Proudfoot";"Hobbit";"";""
"6";"bofur";"Bofur";"Bofur";"";""Thorin's Halls","Lonely Mountain"";"male";"";"";"http://tolkiengateway.net/wiki/Bofur";"Dwarf";"Adlpictures";""
"7";"bolg";"Bolg";"Bolg";"Bolg of the North";"";"male";"";"T.A. 2941";"http://tolkiengateway.net/wiki/Bolg";"Orc";"";""
"6";"bombur";"Bombur";"Bombur";"";""Thorin's Halls","Lonely Mountain"";"male";"";"";"http://tolkiengateway.net/wiki/Bombur";"Dwarf";"Francesco Amadio";""
"3";"bor";"Bór";"Bor";"the Faithful";"East Beleriand";"male";"First Age ";"F.A. 472,Nirnaeth Arnoediad";"http://tolkiengateway.net/wiki/B%C3%B3r";"Man";"";""
"4";"borin";"Borin";"Borin";"";"Grey Mountains Lonely Mountain";"male";"T.A. 2450";"T.A. 2711 (aged 261)";"http://tolkiengateway.net/wiki/Borin";"Dwarf";"";""
"3";"borlach";"Borlach";"Borlach";"";"East Beleriand";"male";"First Age ";"F.A. 472,Nirnaeth Arnoediad";"http://tolkiengateway.net/wiki/Borlach";"Man";"";""
"2";"borlad";"Borlad";"Borlad";"";"East Beleriand";"male";"First Age ";"F.A. 472,Nirnaeth Arnoediad";"http://tolkiengateway.net/wiki/Borlad";"Man";"";""
"7";"boromir";"Boromir";"Boromir";""Captain of the White Tower","Captain-General"";"Gondor";"male";"T.A. 2978 ";"February 26, T.A. 3019 (aged 41),Amon Hen";"http://tolkiengateway.net/wiki/Boromir";"Gondorian";"Matt Stewart";""
"2";"boromirLordOfLadros";"Boromir (Lord of Ladros)";"Boromir (Lord of Ladros)";"1st Lord of Ladros";"Ladros";"male";"F.A. 338";"F.A. 432 (aged 94)";"http://tolkiengateway.net/wiki/Boromir_of_Ladros";"Adan";"";""
"3";"boromirStewardOfGondor";"Boromir (Steward of Gondor)";"Boromir (Steward of Gondor)";"Ruling Steward";"Gondor";"male";"T.A. 2410 ";"T.A. 2489 (aged 79)";"http://tolkiengateway.net/wiki/Boromir_%28Steward_of_Gondor%29";"Gondorian";"";""
"2";"boron";"Boron";"Boron";"3rd Head of the House of Bëor";"Estolad";"male";"F.A. 315 ";"F.A. 408 (aged 83)";"http://tolkiengateway.net/wiki/Boron";"Adan";"";""
"2";"borlas";"Borlas";"Borlas";"of Pen-arduin";"Gondor";"male";"Late Third Age/Early Fourth Age ";"After Fo.A. 120 ";"http://tolkiengateway.net/wiki/Borlas";"Gondorian";"";""
"2";"borondir";"Borondir";"Borondir";"Udalraph";"Gondor";"male";"";"15 April, T.A. 2510, Battle of the Field of Celebrant";"http://tolkiengateway.net/wiki/Borondir";"Gondorian";"";""
"2";"borthand";"Borthand";"Borthand";"";"East Beleriand";"male";"First Age ";"F.A. 472,Nirnaeth Arnoediad";"http://tolkiengateway.net/wiki/Borthand";"Man";"";""
"2";"boscoBoffin";"Bosco Boffin";"Bosco Boffin";"";"The Shire";"male";"S.R. 1167";"S.R. 1258 (aged 91)";"http://tolkiengateway.net/wiki/Bosco_Boffin";"Hobbit";"";""
"2";"bowmanCotton";"Bowman Cotton";"Bowman Cotton";"Nick";"Bywater";"male";"S.R. 1386";"";"http://tolkiengateway.net/wiki/Bowman_Cotton";"Hobbit";"";""
"4";"brand";"Brand";"Brand";"King of Dale";"Dale";"male";"";"17 March, T.A. 3019,Battle of Dale";"http://tolkiengateway.net/wiki/Brand";"Man";"";""
"3";"brandir";"Brandir";"Brandir";""The Lame","Club-foot"";"Brethil";"male";"F.A. 465 ";"F.A. 499 (aged 34),Nen Girith";"http://tolkiengateway.net/wiki/Brandir_the_Lame";"Adan";"";""
"2";"bregil";"Bregil";"Bregil";"";"";"female";"F.A. 386 ";"";"http://tolkiengateway.net/wiki/Bregil";"Adan";"";""
"4";"brego";"Brego";"Brego";"King of Rohan";"Rohan";"male";"T.A. 2512 ";"T.A. 2570 (aged 58)";"http://tolkiengateway.net/wiki/Brego";"Rohir";"";""
"3";"bregor";"Bregor";"Bregor";"2nd Lord of Ladros";"Ladros";"male";"F.A. 359";"F.A. 448 (aged 89)";"http://tolkiengateway.net/wiki/Bregor";"Adan";"Marya Filatova";""
"3";"bregolas";"Bregolas";"Bregolas";"3rd Lord of Ladros";"Ladros";"male";"F.A. 393";"F.A. 455 (aged 62)";"http://tolkiengateway.net/wiki/Bregolas";"Adan";"";""
"2";"briffoBoffin";"Briffo Boffin";"Briffo Boffin";"";""The Yale","Bree"";"male";"S.R. 1170";"";"http://tolkiengateway.net/wiki/Briffo_Boffin";"Hobbit";"";""
"3";"brodda";"Brodda";"Brodda";"the Incomer";"Dor-lómin";"male";"First Age";"F.A. 495,Dor-lómin";"http://tolkiengateway.net/wiki/Brodda";"Man";"";""
"2";"brytta";"Brytta";"Brytta";""Léofa","King of Rohan"";"Rohan";"male";"T.A. 2752";"T.A. 2842 (aged 90)";"http://tolkiengateway.net/wiki/Brytta";"Rohir";"";""
"2";"buffoBoffin";"Buffo Boffin";"Buffo Boffin";"";"The Yale";"male";"";"";"http://tolkiengateway.net/wiki/Buffo_Boffin";"Hobbit";"";""
"2";"bungoBaggins";"Bungo Baggins";"Bungo Baggins";"";""Bag End","Hobbiton"";"male";"S.R. 1246";"S.R. 1326 (aged 80)";"http://tolkiengateway.net/wiki/Bungo_Baggins";"Hobbit";"";""
"2";"calimehtarSonOfCalmacil";"Calimehtar (son of Calmacil)";"Calimehtar (son of Calmacil)";"";"Gondor";"male";"After T.A. 1126 ";"";"http://tolkiengateway.net/wiki/Calimehtar_%28son_of_Calmacil%29";"Gondorian";"";""
"2";"calimehtarKingOfGondor";"Calimehtar (King of Gondor)";"Calimehtar (King of Gondor)";"King of Gondor";"Gondor";"male";"T.A. 1736 ";"T.A. 1936 (aged 200)";"http://tolkiengateway.net/wiki/Calimehtar_%28King_of_Gondor%29";"Gondorian";"";""
"2";"calimmacil";"Calimmacil";"Calimmacil";"";"";"male";"Mid-18th C. Third Age ";"";"http://tolkiengateway.net/wiki/Calimmacil";"Gondorian";"";""
"2";"caliondo";"Caliondo";"Caliondo";"";"Númenor";"male";"S.A. 512 ";"S.A. 900 (aged 388)";"http://tolkiengateway.net/wiki/Caliondo";"Númenórean";"";""
"2";"calmacilKingOfGondor";"Calmacil (King of Gondor)";"Calmacil (King of Gondor)";"King of Gondor";"Gondor";"male";"T.A. 1058";"T.A. 1304 (aged 246)";"http://tolkiengateway.net/wiki/Calmacil_%28King_of_Gondor%29";"Gondorian";"";""
"2";"camelliaSackville";"Camellia Sackville";"Camellia Sackville";"Camellia Baggins";"";"female";"circa S.R. 1260";"";"http://tolkiengateway.net/wiki/Camellia_Sackville";"Hobbit";"";""
"3";"caranthir";"Caranthir";"Caranthir";""Caranthir the Dark","Morifinwë","Carnistir"";""Tirion","Thargelion (Dor Caranthir)"";"male";"During Years of the Trees,Tirion";"F.A. 506,Sack of Doriath: Menegroth";"http://tolkiengateway.net/wiki/Caranthir";"Noldo";"Marya Filatova";""
"5";"carc";"Carc";"Carc";"";"Erebor";"";"";"";"http://tolkiengateway.net/wiki/Carc";"Raven";"";""
"2";"carcharoth";"Carcharoth";"Carcharoth";""Red Maw","Anfauglir","Borosaith"";"Angband";"male";"Mid-First Age";"F.A. 466, Neldoreth";"http://tolkiengateway.net/wiki/Carcharoth";"Werewolf";"Ted Nasmith";""
"2";"carlCotton";"Carl Cotton";"Carl Cotton";"Nibs";"Bywater";"male";"S.R. 1389";"";"http://tolkiengateway.net/wiki/Carl_Cotton";"Hobbit";"Francesco Amadio";""
"2";"carlSonOfCottar";"Carl (son of Cottar)";"Carl (son of Cottar)";"";"The Shire";"male";"S.R. 1263";"";"http://tolkiengateway.net/wiki/Carl_%28Son_of_Cottar%29";"Hobbit";"";""
"2";"carnimirie";"Carnimírië";"Carnimirie";"";"Fangorn";"";"";"";"http://tolkiengateway.net/wiki/Carnim%C3%ADri%C3%AB";"Tree";"";""
"3";"castamir";"Castamir";"Castamir";""The Usurper","King of Gondor"";"";"male";"T.A. 1259 ";"T.A. 1447 (aged 188)";"http://tolkiengateway.net/wiki/Castamir";"Gondorian";"";""
"2";"celandineBrandybuck";"Celandine Brandybuck";"Celandine Brandybuck";"";"Buckland";"female";"S.R. 1394";"";"http://tolkiengateway.net/wiki/Celandine_Brandybuck";"Hobbit";"";""
"3";"celebornTree";"Celeborn (White Tree)";"Celeborn (White Tree)";"";"Tol Eressëa";"";"";"";"http://tolkiengateway.net/wiki/Celeborn_%28White_Tree%29";"Tree";"";""
"6";"celeborn";"Celeborn";"Celeborn";""T. Teleporno","Lord of Lórien"";""Doriath","Lindon","Eregion","Lothlórien"";"male";"";"Early Fourth Age,Grey Havens";"http://tolkiengateway.net/wiki/Celeborn";"Sinda";"Līga Kļaviņa";""
"5";"celebrian";"Celebrían";"Celebrian";"Lady of Rivendell";""Imladris","Lothlórien"";"female";"";"T.A. 2510,Grey Havens";"http://tolkiengateway.net/wiki/Celebr%C3%ADan";"Falmar/Falas Elf";"Ebe Kastein";""
"5";"celebrimbor";"Celebrimbor";"Celebrimbor";"Telperinquar";""Nargothrond","Eregion"";"male";"During the First Age";"S.A. 1697 (aged 2287+) War of the Elves and Sauron: Ost-in-Edhil";"http://tolkiengateway.net/wiki/Celebrimbor";"Noldo";"Marya Filatova";""
"3";"celebrindor";"Celebrindor";"Celebrindor";"King of Arthedain";"Arthedain";"male";"T.A. 1062 ";"T.A. 1272 (aged 210)";"http://tolkiengateway.net/wiki/Celebrindor";"Arnorian";"";""
"5";"celegorm";"Celegorm";"Celegorm";""Celegorm the Fair","Turcafinwë","Tyelkormo"";""Tirion","Himlad"";"male";"During Years of the Trees, Tirion";"F.A. 506, Sack of Doriath: Menegroth";"http://tolkiengateway.net/wiki/Celegorm";"Noldo";"Anke Eissmann";""
"2";"celegormcurufin";"Celegorm and Curufin";"Celegorm and Curufin";"";"";"male";"";"";"";"";"Anke Eissmann";""
"3";"celepharn";"Celepharn";"Celepharn";"King of Arthedain";"Arthedain";"male";"T.A. 979 ";"T.A. 1191 (aged 212)";"http://tolkiengateway.net/wiki/Celepharn";"Arnorian";"";""
"2";"cemendur";"Cemendur";"Cemendur";"";"Númenor";"male";"";"After S.A. 711 ";"http://tolkiengateway.net/wiki/Cemendur_%28son_of_Axantur%29";"Númenórean";"";""
"2";"cemendurKingOfGondor";"Cemendur (King of Gondor)";"Cemendur (King of Gondor)";"King of Gondor";"Gondor";"male";"S.A. 3399 ";"T.A. 238 (aged 280)";"http://tolkiengateway.net/wiki/Cemendur_%28King_of_Gondor%29";"Gondorian";"Matěj Čadil";""
"3";"ceorl";"Ceorl";"Ceorl";"";"Rohan";"male";"";"";"http://tolkiengateway.net/wiki/Ceorl";"Rohir";"";""
"2";"chicaChubb";"Chica Chubb";"Chica Chubb";"";"The Shire";"female";"c. S.R. 1264";"";"http://tolkiengateway.net/wiki/Chica_Chubb";"Hobbit";"";""
"2";"cirdan";"Círdan";"Cirdan";"Nowë";""Falas","Balar","Mithlond"";"male";"During Years of the Trees,Middle-earth";"";"http://tolkiengateway.net/wiki/C%C3%ADrdan";"Falmar/Falas Elf";"";""
"2";"cirion";"Cirion";"Cirion";"Ruling Steward";"Gondor";"male";"T.A. 2449 ";"T.A. 2567 (aged 118)";"http://tolkiengateway.net/wiki/Cirion";"Gondorian";"";""
"2";"ciryandil";"Ciryandil";"Ciryandil";"King of Gondor";"Gondor";"male";"T.A. 820,Gondor";"T.A. 1015 (aged 195),Haradwaith ";"http://tolkiengateway.net/wiki/Ciryandil";"Gondorian";"Matěj Čadil";""
"2";"ciryon";"Ciryon";"Ciryon";"";"Arnor";"male";"S.A. 3379";"T.A. 2 (aged 64),Disaster of the Gladden Fields";"http://tolkiengateway.net/wiki/Ciryon";"Arnorian";"";""
"2";"coraGoodbody";"Cora Goodbody";"Cora Goodbody";"";"Budgeford";"female";"c. S.R. 1178";"";"http://tolkiengateway.net/wiki/Cora_Goodbody";"Hobbit";"";""
"2";"cotman";"Cotman";"Cotman";"Hlothram";"Bywater";"male";"S.R. 1260";"";"http://tolkiengateway.net/wiki/Cotman";"Hobbit";"";""
"2";"cottar";"Cottar";"Cottar";"";"The Shire";"male";"S.R. 1220";"";"http://tolkiengateway.net/wiki/Cottar";"Hobbit";"";""
"4";"curufin";"Curufin";"Curufin";""Curufin the Crafty","Curufinwë","Atarincë"";""Tirion","Himlad"";"male";"During Years of the Trees, Tirion";"F.A. 506, Sack of Doriath: Menegroth";"http://tolkiengateway.net/wiki/Curufin";"Noldo";"Anke Eissmann";""
"2";"daeron";"Daeron";"Daeron";"";"Doriath";"male";"Before Y.T. 1300 ";"";"http://tolkiengateway.net/wiki/Daeron";"Sinda";"Anke Eissmann";""
"3";"dagnir";"Dagnir";"Dagnir";"";"";"male";"";"F.A. 460,Tarn Aeluin";"http://tolkiengateway.net/wiki/Dagnir";"Adan";"";""
"4";"dain1";"Dáin I";"Dain I";"King of Durin's Folk";"Grey Mountains";"male";"T.A. 2440";"T.A. 2589 (aged 149) Dáin's halls, Grey Mountains";"http://tolkiengateway.net/wiki/D%C3%A1in_I";"Dwarf";"";""
"6";"dain2";"Dáin Ironfoot";"Dain Ironfoot";""Lord of the Iron Hills","King of Durin's Folk","King under the Mountain"";""Iron Hills","Lonely Mountain"";"male";"T.A. 2767 Iron Hills";"17 March T.A. 3019 (aged 252) Battle of Dale";"http://tolkiengateway.net/wiki/D%C3%A1in_Ironfoot";"Dwarf";"";""
"3";"dairuin";"Dairuin";"Dairuin";"";"";"male";"";"F.A. 460,Tarn Aeluin";"http://tolkiengateway.net/wiki/Dairuin";"Adan";"";""
"2";"daisyBaggins";"Daisy Baggins";"Daisy Baggins";"";"The Shire";"female";"S.R. 1350";"";"http://tolkiengateway.net/wiki/Daisy_Baggins";"Hobbit";"";""
"2";"daisyGamgee";"Daisy Gamgee";"Daisy Gamgee";"";"Hobbiton";"female";"T.A. 2972";"";"http://tolkiengateway.net/wiki/Daisy_Gamgee";"Hobbit";"";""
"2";"daisyGardner";"Daisy Gardner";"Daisy Gardner";"";""Bag End","Hobbiton"";"female";"S.R. 1433";"";"http://tolkiengateway.net/wiki/Daisy_Gardner";"Hobbit";"";""
"3";"damrod";"Damrod";"Damrod";"";""Ithilien","Gondor"";"male";"Late Third Age ";"";"http://tolkiengateway.net/wiki/Damrod";"Gondorian";"";""
"4";"deagol";"Déagol";"Deagol";"";"";"male";"c. T.A. 2400-2450";"c. T.A. 2463,Gladden Fields";"http://tolkiengateway.net/wiki/D%C3%A9agol";"Hobbit";"";""
"4";"denethor";"Denethor";"Denethor";"King of the Laiquendi";"Ossiriand";"male";"";"Y.T. 1497, Amon Ereb";"http://tolkiengateway.net/wiki/Denethor_of_the_Nandor";"Nando";"";""
"3";"denethor1";"Denethor I";"Denethor I";"Ruling Steward";"Gondor";"male";"T.A. 2375 ";"T.A. 2477 (aged 102)";"http://tolkiengateway.net/wiki/Denethor_I";"Gondorian";"";""
"6";"denethor2";"Denethor";"Denethor";"Ruling Steward";"Gondor";"male";"T.A. 2930 ";"15 March, T.A. 3019 (aged 89),Rath Dínen, Minas Tirith";"http://tolkiengateway.net/wiki/Denethor_II";"Gondorian";"Soni Alcorn-Hender";""
"3";"deor";"Déor";"Deor";"King of Rohan";"Rohan";"male";"T.A. 2644 ";"T.A. 2718 (aged 74)";"http://tolkiengateway.net/wiki/D%C3%A9or";"Rohir";"";""
"2";"derufin";"Derufin";"Derufin";"";"Gondor";"male";"Late Third Age ";"T.A. 3019,Pelennor Fields";"http://tolkiengateway.net/wiki/Derufin";"Gondorian";"";""
"3";"diamondOfLongCleeve";"Diamond of Long Cleeve";"Diamond of Long Cleeve";"";""Long Cleeve","Great Smials"";"female";"S.R. 1395";"";"http://tolkiengateway.net/wiki/Diamond_of_Long_Cleeve";"Hobbit";"";""
"2";"dinaDiggle";"Dina Diggle";"Dina Diggle";"";"Budgeford";"female";"c. S.R. 1174";"";"http://tolkiengateway.net/wiki/Dina_Diggle";"Hobbit";"";""
"2";"dinodasBrandybuck";"Dinodas Brandybuck";"Dinodas Brandybuck";"";"Buckland";"male";"S.R. 1316";"S.R. 1410 (aged 94)";"http://tolkiengateway.net/wiki/Dinodas_Brandybuck";"Hobbit";"";""
"3";"dior";"Dior";"Dior";""Eluchíl","Aranel","Dior the Fair"";""Ossiriand","Doriath"";"male";"F.A. 470,Tol Galen";"F.A. 506 (aged 36),Menegroth, during Sack of Doriath";"http://tolkiengateway.net/wiki/Dior";"Half-Elf";"";""
"2";"diorStewardOfGondor";"Dior (Steward of Gondor)";"Dior (Steward of Gondor)";"Ruling Steward";"Gondor";"male";"T.A. 2328 ";"T.A. 2435 (aged 107)";"http://tolkiengateway.net/wiki/Dior_%28Steward_of_Gondor%29";"Gondorian";"";""
"2";"dirhael";"Dírhael";"Dirhael";"";"Eriador";"male";"Late Third Age ";"Late Third Age ";"http://tolkiengateway.net/wiki/D%C3%ADrhael";"Arnorian";"";""
"5";"dis";"Dís";"Dis";"";"Lonely Mountain";"male";"T.A. 2760 Erebor";"";"http://tolkiengateway.net/wiki/D%C3%ADs";"Dwarf";"";""
"2";"dodinasBrandybuck";"Dodinas Brandybuck";"Dodinas Brandybuck";"";"Buckland";"male";"between S.R. 1308 and S.R. 1313";"c. S.R. 1401";"http://tolkiengateway.net/wiki/Dodinas_Brandybuck";"Hobbit";"";""
"2";"donnamiraTook";"Donnamira Took";"Donnamira Took";"Donnamira Boffin";""Great Smials","Tuckborough"";"female";"S.R. 1256";"S.R. 1348 (aged 92)";"http://tolkiengateway.net/wiki/Donnamira_Took";"Hobbit";"";""
"2";"doraBaggins";"Dora Baggins";"Dora Baggins";"";"The Shire";"female";"S.R. 1302";"S.R. 1406 (aged 104)";"http://tolkiengateway.net/wiki/Dora_Baggins";"Hobbit";"";""
"2";"dodericBrandybuck";"Doderic Brandybuck";"Doderic Brandybuck";"";"The Shire";"male";"S.R. 1389";"";"http://tolkiengateway.net/wiki/Doderic_Brandybuck";"Hobbit";"";""
"2";"dorlas";"Dorlas";"Dorlas";"";"";"male";"";"F.A. 499,Woods near Cabed-en-Aras";"http://tolkiengateway.net/wiki/Dorlas";"Adan";"";""
"3";"dori";"Dori";"Dori";"";""Thorin's Halls","Lonely Mountain"";"male";"";"";"http://tolkiengateway.net/wiki/Dori";"Dwarf";"Adlpictures";""
"2";"draugluin";"Draugluin";"Draugluin";"";"";"";"";"";"http://tolkiengateway.net/wiki/Draugluin";"Werewolf";"Ted Nasmith";""
"2";"drogoBaggins";"Drogo Baggins";"Drogo Baggins";"";"The Shire";"male";"S.R. 1308";"S.R. 1380 (aged 72)";"http://tolkiengateway.net/wiki/Drogo_Baggins";"Hobbit";"";""
"2";"dudoBaggins";"Dudo Baggins";"Dudo Baggins";"";"The Shire";"male";"S.R. 1311";"S.R. 1409 (aged 98)";"http://tolkiengateway.net/wiki/Dudo_Baggins";"Hobbit";"";""
"2";"duilinGondolin";"Duilin of Gondolin";"Duilin of Gondolin";"";"Gondolin";"";"";"";"http://tolkiengateway.net/wiki/Duilin_of_Gondolin";"";"";""
"2";"duilinSonOfDuinhir";"Duilin (son of Duinhir)";"Duilin (son of Duinhir)";"";"Gondor";"male";"Late Third Age ";"15 March, T.A. 3019,Battle of the Pelennor Fields";"http://tolkiengateway.net/wiki/Duilin_%28son_of_Duinhir%29";"Gondorian";"";""
"2";"duinhir";"Duinhir";"Duinhir";"Lord of Blackroot Vale";"Gondor";"male";"Late Third Age ";"";"http://tolkiengateway.net/wiki/Duinhir";"Gondorian";"";""
"2";"dunhere";"Dúnhere";"Dunhere";"Lord of Harrowdale";""Harrowdale","Rohan"";"male";"";"15 March, T.A. 3019,Battle of the Pelennor Fields";"http://tolkiengateway.net/wiki/D%C3%BAnhere";"Rohir";"";""
"5";"durin1";"Durin";"Durin";""Durin the Deathless","Father of the Dwarves"";"Khazad-dûm";"male";"Years of the Trees (Mount Gundabad)";"";"http://tolkiengateway.net/wiki/Durin";"Dwarf";"";""
"4";"durin6";"Durin";"Durin";""King of Durin's Folk","King of Khazad-dûm"";"Khazad-dûm";"male";"T.A. 1731";"unknown - T.A. 1980";"http://tolkiengateway.net/wiki/Durin_VI";"Dwarf";"";""
"6";"durin7";"Durin VII";"Durin VII";"Durin the Last";""King of Durin's Folk","King of Khazad-dûm"";"male";"";"";"http://tolkiengateway.net/wiki/Durin_VII";"Dwarf";"";""
"6";"dwalin";"Dwalin";"Dwalin";"";""Thorin's Halls","Lonely Mountain"";"male";"T.A. 2772";"Fo.A. 91 (aged 340)";"http://tolkiengateway.net/wiki/Dwalin";"Dwarf";"Francesco Amadio";""
"2";"edrahil";"Edrahil";"Edrahil";"";"Nargothrond";"male";"";"";"http://tolkiengateway.net/wiki/Edrahil";"Elf";"";""
"5";"earendil";"Eärendil";"Earendil";""Azrubêl","Ardamírë"";""Gondolin","Havens of Sirion"";"male";"c. F.A. 503, Gondolin";"";"http://tolkiengateway.net/wiki/E%C3%A4rendil";"Half-Elf";"Jenny Dolfen";""
"7";"earendilKingOfGondor";"Eärendil (King of Gondor)";"Earendil (King of Gondor)";"King of Gondor";"Gondor";"male";"T.A. 48 ";"T.A. 324 (aged 279)";"http://tolkiengateway.net/wiki/E%C3%A4rendil_%28King_of_Gondor%29";"Gondorian";"Matěj Čadil";""
"4";"earendurSonOfTarAmandil";"Eärendur(son of Tar-Amandil)";"Earendur(son of Tar-Amandil)";"";"Númenor";"male";"S.A. 361 ";"";"http://tolkiengateway.net/wiki/E%C3%A4rendur_%28son_of_Tar-Amandil%29";"Númenórean";"";""
"3";"earendurLordOfAndunie";"Eärendur (Lord of Andúnië)";"Earendur (Lord of Andúnië)";"Lord of Andúnië";""Andúnië","Númenor"";"male";"Late Second Age ";"";"http://tolkiengateway.net/wiki/E%C3%A4rendur_%28Lord_of_And%C3%BAni%C3%AB%29";"Númenórean";"";""
"3";"earendurKingOfArnor";"Eärendur (King of Arnor)";"Earendur (King of Arnor)";"King of Arnor";"Arnor";"male";"T.A. 640 ";"T.A. 861 (aged 221)";"http://tolkiengateway.net/wiki/E%C3%A4rendur_%28King_of_Arnor%29";"Arnorian";"";""
"2";"earnil1";"Eärnil I";"Earnil I";"King of Gondor";"Gondor";"male";"T.A. 736";"T.A. 936 (aged 200),In the sea off Umbar";"http://tolkiengateway.net/wiki/E%C3%A4rnil_I";"Gondorian";"Matěj Čadil";""
"2";"earnil2";"Eärnil II";"Earnil II";"King of Gondor";"Gondor";"male";"T.A. 1883 ";"T.A. 2043 (aged 160)";"http://tolkiengateway.net/wiki/E%C3%A4rnil_II";"Gondorian";"";""
"2";"earnur";"Eärnur";"Earnur";"King of Gondor";"Gondor";"male";"T.A. 1928 ";"T.A. 2050 (aged 122),Minas Morgul";"http://tolkiengateway.net/wiki/E%C3%A4rnur";"Gondorian";"";""
"2";"earwen";"Eärwen";"Earwen";"Swan-maiden of Alqualondë";"Alqualondë";"female";"";"";"http://tolkiengateway.net/wiki/E%C3%A4rwen";"Falmar/Falas Elf";"Līga Kļaviņa";""
"6";"ecthelion";"Ecthelion";"Ecthelion";"Lord of the House of the Fountain";"Gondolin";"male";"";"F.A. 510,The Fall of Gondolin";"http://tolkiengateway.net/wiki/Ecthelion";"Noldo";"NOLANOS";""
